fname,xgb,rf,ridge,xgb_rf_ridge
time_series-PG-1day.csv,6.262498463161894,4.0619696808527666,2.764616094697902,4.051732357214787
apparent_temperature_mean-2024-10-08.csv,0.7397401114766912,0.7984308841518213,0.7745039770806911,0.783803637403931
time_series-CSCO-1day.csv,0.9955362812856612,0.8281316577076501,0.8850117808380397,0.782751539126127
time_series-NEE-1day.csv,4.863978583518039,2.3233853919183143,2.216248536940307,3.051628816579631
time_series-TEL-1day.csv,3.0888389844572934,2.5969367234561225,3.3972429187375086,2.7875693639506838
time_series-META-1day.csv,48.97988390498816,52.10674603242345,10.362871691845491,51.7203946853201
time_series-SM-1day.csv,2.697462367368548,2.247902951715832,1.7620902816402946,2.078906243034894
time_series-KO-1day.csv,0.8645457578509043,0.7314221288188866,0.6931898466422488,0.7213057607899352
time_series-UNH-1day.csv,10.116498147713305,9.88463946160996,10.097099803439212,10.179361284373387
time_series-ADBE-1day.csv,17.36753344835069,16.71366692619039,11.974279528501848,17.0380633305333
time_series-TXN-1day.csv,6.526392276817065,4.4923970614906565,3.8758692736433016,4.398754904538424
time_series-PFE-1day.csv,4.987933520846896,3.6549646428750506,1.2170085012692877,2.9997319217252065
temperature_2m_min-2024-10-08.csv,0.5711836069822311,0.563988926434285,0.6291696782276395,0.5792780985848177
time_series-GS-1day.csv,12.242316206109553,13.074358237610843,11.72726676526758,12.222593953325969
time_series-SBUX-1day.csv,2.693251130179073,2.590672126017807,2.660862907908989,2.396592363365001
time_series-TGT-1day.csv,10.660147212619357,3.998181874514771,4.323657265285505,3.687617079254859
time_series-XOM-1day.csv,3.8324663628472226,3.130118356491404,2.9034710710977865,2.9188604608796562
time_series-CRM-1day.csv,29.411299436885532,29.570799088182632,12.081785572297278,23.395769786187206
temperature_2m_mean-2024-10-08.csv,0.5233168870210648,0.5496199933234726,0.5481181982891559,0.7178665967628888
time_series-SMC-1day.csv,0.5921107555775161,0.6110017755551371,1.0158757362413073,0.6569795932260187
temperature_2m_max-2024-10-08.csv,2.5717540755985295,2.4447926049603153,2.7380552509386513,2.3539692565086106
time_series-ABBV-1day.csv,4.527968815212675,4.225505423041866,3.849555116694036,3.8997099560860087
time_series-IBM-1day.csv,4.140656963795866,4.347040539393677,2.8218425622945973,2.8957228614399484
precipitation_sum-2024-10-08.csv,2.8869616399670757,4.662918644974357,3.784545776997349,2.9865704858327162
time_series-V-1day.csv,6.356386178568294,5.198670295279827,3.981457234616927,4.480997345689919
time_series-AXP-1day.csv,6.709472577137464,5.786369931948853,5.874045687287953,5.918546381935754
time_series-PYPL-1day.csv,7.20283152719562,3.927369890249223,3.7533141680050557,3.164845620301171
time_series-NFLX-1day.csv,19.442870858497194,18.477104608350814,13.268275562261431,21.399083319652295
time_series-GLO-1day.csv,0.0746427467431915,0.07718036523044493,0.14135093195835663,0.0921524496003048
time_series-RDS.A-1day.csv,1.5196107791332492,1.6700378420293858,1.4629800590680064,1.4569314588921398
time_series-TSLA-1day.csv,23.967040642665907,15.54033676368994,15.496597956034847,15.153306311755435
time_series-BAC-1day.csv,1.2387449517410791,1.1692566345883733,1.081000158629172,1.3229521245873204
time_series-NKE-1day.csv,3.961935315078564,5.093360338793175,2.5172956355004072,3.2808215510568624
daylight_duration-2024-10-08.csv,47.09363891601555,233.71339663530102,46.8946959077104,224.54133965218796
time_series-QCOM-1day.csv,9.016444796567766,4.378438179933449,4.9967886230578396,4.168771633877273
time_series-MCD-1day.csv,13.135547050671523,5.432767663234735,6.923338898271703,6.492880665304766
time_series-JPM-1day.csv,4.269195959116045,4.1105042727501555,2.7960169417674727,3.84534073978535
wind_speed_10m_max-2024-10-08.csv,7.352202343118601,7.658245402278817,7.388456538417602,7.618495407656893
time_series-AAPL-1day (3).csv,22.21932139664896,17.570214002147388,3.77198962556559,14.097840224185324
time_series-AC-1day.csv,1.14164372253418,0.8377119778457018,0.9746513888696695,1.132544613835244
time_series-MSFT-1day.csv,45.4458104376975,44.09243001702804,9.692728809764791,37.89191077058004
rain_sum-2024-10-08.csv,3.3928073506336656,3.0426029537499546,2.8740772768563883,2.9363420578987096
time_series-AMZN-1day.csv,13.223646164797664,13.685803664617682,4.187091207110499,21.131142810958917
time_series-NVDA-1day.csv,5.831716103714502,5.682812472809943,1.885035842677945,4.874588473183707
time_series-PEP-1day.csv,4.3217000416959275,3.0706100073377063,2.9634005133887746,2.844242281168361
time_series-GOOGL-1day.csv,19.88276938449131,20.145909548799796,3.8141394106992452,16.887842221276184
time_series-DIS-1day.csv,5.3935073612513165,6.49086420617912,4.283638243950685,4.1739127819864725
time_series-INTC-1day.csv,4.8481592135959195,1.7739190775349623,2.1309714023972024,1.606888333716028
time_series-LMT-1day.csv,19.546013325469627,12.390435719020173,10.209451291827424,13.258326567582019
time_series-JNJ-1day.csv,3.494551346284674,3.3847944578550706,3.1335868404373204,2.7648594891675495
